Sample,Name,Date,Year,Time period,Region,Plant,BLTVA,BCTV
432,48,26-May,2021,Late May,Moxee,Tumble mustard,1,0
433,44,26-May,2021,Late May,Moxee,Flixweed,1,1
434,45,26-May,2021,Late May,Moxee,Kochia,1,1
435,46,26-May,2021,Late May,Moxee,Loesel's tumble mustard,1,1
436,47,26-May,2021,Late May,Moxee,Russian thistle,1,1
437,50,26-May,2021,Late May,Othello,Kochia,1,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
