Sample,Chemovar,Type,Block,Plant,Transplant,Treatment,Colony,Infection,Data,Set,Leaf,Height,Width,Internode,SPAD1,SPAD2,SPAD3,Symptom,Description,Notes,Diameter,Weight,Flower
T19,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,30,17,17,6,42.2,44.4,41.9,0,Healthy,,0.7,16.1,NA
T19,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,86,26,22,9,47.7,29.1,41.3,1,chlorosis on lower leaves_ fasciation ,,0.7,16.1,NA
T19,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,82,29,19,11,44,40.9,36.8,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.7,16.1,NA
T19,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,104,34,19,12,43.4,22,49.8,0,healthy ,,0.7,16.1,NA
T19,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,148,38,20,14,66.6,45.1,48.1,1,twist_ curl_ fasciation,Purple on stem,0.7,16.1,NA
T2,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,20,15,18,6,32.2,31.5,41.2,0,Healthy,lower leaves brown - removed 2 oldest leaves,0.7,22.9,NA
T2,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,54,25,27,8,25.2,23.1,18.1,4,Chlorosis_ brown spots_ fasciation,,0.7,22.9,NA
T2,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,42,32,17,12,26.1,27.8,45.7,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.7,22.9,NA
T2,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,122,40,20,14,49.5,46.2,53,0,Healthy,,0.7,22.9,NA
T2,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,228,43,24,16,61.2,45.9,60.9,0,Healthy ,Purple on stem_ Feeding burn,0.7,22.9,NA
T20,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,24,14,19,5,45.2,49.9,40.3,0,Healthy,yellow with brown spots_ crispy - removed 2 oldest leaves,0.6,18.2,NA
T20,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,82,25,26,7,33.1,21.3,17.2,4,curling_ chlorosis_ fasciation_ brown spots ,,0.6,18.2,NA
T20,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,96,26,15,9,31.3,41.2,39.6,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.6,18.2,NA
T20,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,110,30,17,13,45.4,62.2,51.1,0,healthy ,,0.6,18.2,NA
T20,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,188,36,26,15,64.6,53.5,57.8,1,twist_ curl_ fasciation,,0.6,18.2,NA
T21,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,20,19,20,5,42.5,35.4,41.6,0,Healthy,yellow with brown spots_ crispy - removed 2 oldest leaves,0.6,18.4,NA
T21,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,46,23,33,7,18.1,40.9,27.4,1,chlorosis on lower leaves_ fasciation_ brown spots ,,0.6,18.4,NA
T21,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,32,34,9,10,40.2,40,41,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.6,18.4,NA
T21,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,62,40,18,12,44.4,37.8,19.7,0,healthy ,,0.6,18.4,NA
T21,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,88,46,25,14,36.9,49,56.4,1,twist_ curl_ fasciation,Purple on stem,0.6,18.4,NA
T22,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,24,12,19.5,5,41.9,40.6,40,0,Healthy,,0.8,19.4,NA
T22,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,66,23,21,9,50.2,40.4,44.8,0,Healthy ,,0.8,19.4,NA
T22,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,56,30,17,11,45.7,46.7,44.9,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.8,19.4,NA
T22,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,102,40,22,14,50.7,47.9,44.3,0,healthy ,brown tips on older leaves ,0.8,19.4,NA
T22,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,144,49,27,15,64.6,65.4,62.3,1,chlorosis_ twist_ curl_ fasciation,Purple on stem_ 3 leaves fell off,0.8,19.4,NA
T23,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,27,18,22,5,38,41.8,35.8,0,Healthy,yellow with brown spots_ crispy - removed 2 oldest leaves,0.5,17,NA
T23,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,52,24,23,7,50,48.6,33.2,0,Healthy ,white spots on leaves,0.5,17,NA
T23,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,54,27,16,10,36.4,34.2,34.6,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.5,17,NA
T23,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,84,33,18,11,47.4,36,47.5,0,healthy ,,0.5,17,NA
T23,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,136,38,26,14,55.7,68.4,53.1,0,Healthy ,,0.5,17,NA
T24,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,28,19,23,6,41.2,37.1,40,0,Healthy,yellow with brown spots_ crispy - removed 2 oldest leaves,0.6,20.3,NA
T24,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,67,2,22,7,39.5,38.5,44.3,1,curling. brown spots_ chlorosis ,,0.6,20.3,NA
T24,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,56,30,15,10,24.1,23.5,24.9,1,chlorosis,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.6,20.3,NA
T24,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,106,37,23,11,70.9,56.8,44.9,0,healthy ,,0.6,20.3,NA
T24,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,182,44,31,17,54.7,57.6,55,1,curl_ twist_ chlorosis_ feeding burn,Purple on stem_ 5 leaves fell off,0.6,20.3,NA
T25,OTX,Fiber,1,45743,45762,Control,NA,45769,45769,1,28,17,24,5,38.7,40.3,36.5,0,Healthy,,0.8,20.8,NA
T25,OTX,Fiber,1,45743,45762,Control,NA,45769,45777,2,60,27,23,7,25.6,55.9,39.9,1,chlorosis of lower leaves_ fasciation,,0.8,20.8,NA
T25,OTX,Fiber,1,45743,45762,Control,NA,45769,45791,3,50,29,18,9,29.8,41.6,35.9,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.8,20.8,NA
T25,OTX,Fiber,1,45743,45762,Control,NA,45769,45805,4,88,36,19,10,60.8,54.5,48.6,0,healthy ,,0.8,20.8,NA
T25,OTX,Fiber,1,45743,45762,Control,NA,45769,45819,5,143,43,23,13,65.1,64.6,51.1,0,Healthy ,,0.8,20.8,NA
T3,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,20,13,21.5,6,35.4,38,40,0,Healthy,,0.8,32.6,NA
T3,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,43,22,21,8,43,46.1,39.1,0,Healthy ,,0.8,32.6,NA
T3,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,42,28,22,11,40.4,39.7,41.4,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.8,32.6,NA
T3,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,124,38,25,13,65,42.8,52.9,1,curling of new leaves,,0.8,32.6,NA
T3,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,178,50,26,16,61.9,48.5,50.7,0,Healthy ,,0.8,32.6,NA
T4,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,22,16.5,26,5,44.5,40.3,41.1,0,Healthy,,0.6,13.1,NA
T4,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,64,23,20,8,50.2,48.1,51.2,1,Mild curling_ faciation,Some fungus on lower leaves,0.6,13.1,NA
T4,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,54,25,16,9,42.2,35.5,31.1,3,Chlorosis_ curling of new leaves_ fasciation ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.6,13.1,NA
T4,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,,,,,,,,,,,0.6,13.1,NA
T4,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,158,31,20,12,18.4,48.4,63.3,2,Twisted_ Chlorosis_ Curling_ Whorling of new leaves_ stunted_ fasciation ,9 leaves fell off,0.6,13.1,NA
T5,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,18,18,19.2,6,36.3,43,44.1,0,Healthy,,0.5,11.6,NA
T5,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,50,26,18,8,,,,4,Chlorosis_ brown spots_ fasciation. Lower leaves dead and falling off,too crispy for SPAD_ 4 leaves fell off,0.5,11.6,NA
T5,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,26,26,13,10,23.1,32,33.7,3,chlorosis_ fasciation_ curling_ brown tips,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.5,11.6,NA
T5,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,63,29,16,13,46.2,23.8,34.9,2,chlorosis_ twisting and curling ,,0.5,11.6,NA
T5,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,108,36,21,15,53.6,23.3,55.7,2,Tacoing_ fasciation_ chlorosis_ twisting_ curly_ stunted,,0.5,11.6,NA
T6,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45769,1,16,9.5,17.5,4,34,36.2,32.6,0,Healthy,curling leaves and loop in stem,0.7,23.5,NA
T6,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45777,2,49,17,23,6,44.1,35.8,44,0,Healthy ,,0.7,23.5,NA
T6,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45791,3,82,23,18,10,44.2,31.1,32.3,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.7,23.5,NA
T6,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45805,4,178,27,26,22,38.3,27,30.2,0,healthy,,0.7,23.5,NA
T6,OTX,Fiber,1,45743,45762,BCTV,B7,45769,45819,5,195,33,34,15,54.4,54.4,55.2,0,Healthy ,,0.7,23.5,NA
T7,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45769,1,14,13,20,4,26.2,32.5,35.3,0,Healthy,,0.7,23.9,NA
T7,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45777,2,57,23,15,7,42.3,44.4,46.5,0,Healthy ,,0.7,23.9,NA
T7,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45791,3,59,32,18,11,43.3,27.2,41.3,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.7,23.9,NA
T7,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45805,4,212,39,25,15,42.4,39.9,45.5,0,healthy,,0.7,23.9,NA
T7,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45819,5,270,45,33,16,56.5,49.6,57.6,0,Healthy ,Purple on stem,0.7,23.9,NA
T8,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45769,1,19,17,18.5,5,44.2,46.8,42.7,0,Healthy,,0.7,24.9,NA
T8,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45777,2,42,33,16,8,53.1,56.7,52,0,Healthy ,,0.7,24.9,NA
T8,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45791,3,58,44,18,10,51.8,41.5,49,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.7,24.9,NA
T8,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45805,4,120,56,24,12,49.5,48.1,40.2,0,healthy,,0.7,24.9,NA
T8,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45819,5,212,65,26,14,61,48.8,40.9,0,Healthy ,Purple on stem,0.7,24.9,NA
T9,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45769,1,21,16,19,5,36.7,49.1,40.5,0,Healthy,,0.6,26.8,NA
T9,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45777,2,42,27,17,7,52.1,52,38.1,0,Healthy ,,0.6,26.8,NA
T9,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45791,3,76,34,19,10,37.3,40.1,40.1,0,Healthy ,fried/moldy/funugs leaves were removed and fertilizer was added when transplanted,0.6,26.8,NA
T9,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45805,4,138,40,21,13,56.5,54.8,46.4,0,healthy,brown spots,0.6,26.8,NA
T9,OTX,Fiber,1,45743,45762,BCTV,B6,45769,45819,5,182,50,26,15,51.3,51.8,60.7,1,Twisting,Some twisting of top new leaves,0.6,26.8,NA
