ALL ,Sample ,Date,Year,Time period,Region,Plant,Specific,BLTVA,BCTV
367,3,15-Mar,2021,Early March,Othello,Flixweed,Flixweed,0,1
368,4,15-Mar,2021,Early March,Pasco,Mustard,Tumble mustard,0,1
369,5,23-Mar,2021,Late March,Moxee,Mustard,Blue mustard,0,1
370,6,23-Mar,2021,Late March,Moxee,Flixweed,Flixweed,1,1
371,7,23-Mar,2021,Late March,Othello,Flixweed,Flixweed,1,1
372,8,23-Mar,2021,Late March,Pasco,Mustard,Tumble mustard,1,0
373,9,30-Mar,2021,Late March,Moxee,Mustard,Blue mustard,0,1
374,10,30-Mar,2021,Late March,Moxee,Flixweed,Flixweed,0,1
375,11,30-Mar,2021,Late March,Othello,Flixweed,Flixweed,1,1
376,12,30-Mar,2021,Late March,Pasco,Mustard,Tumble mustard,1,0
377,13,6-Apr,2021,Early April,Moxee,Mustard,Blue mustard,1,1
378,14,6-Apr,2021,Early April,Moxee,Flixweed,Flixweed,1,1
379,15,6-Apr,2021,Early April,Othello,Flixweed,Flixweed,1,1
380,16,6-Apr,2021,Early April,Pasco,Mustard,Tumble mustard,1,0
381,17,13-Apr,2021,Early April,Moxee,Mustard,Blue mustard,0,1
382,18,13-Apr,2021,Early April,Moxee,Flixweed,Flixweed,0,0
383,19,13-Apr,2021,Early April,Othello,Flixweed,Flixweed,1,1
384,20,13-Apr,2021,Early April,Pasco,Mustard,Tumble mustard,0,0
385,21,20-Apr,2021,Late April,Moxee,Mustard,Blue mustard,1,1
386,22,20-Apr,2021,Late April,Moxee,Flixweed,Flixweed,1,1
387,23,20-Apr,2021,Late April,Othello,Flixweed,Flixweed,0,1
388,24,20-Apr,2021,Late April,Pasco,Mustard,Tumble mustard,0,1
389,25,27-Apr,2021,Late April,Moxee,Mustard,Blue mustard,0,1
390,26,27-Apr,2021,Late April,Moxee,Flixweed,Flixweed,0,1
391,27,27-Apr,2021,Late April,Othello,Flixweed,Flixweed,1,1
392,28,27-Apr,2021,Late April,Pasco,Mustard,Tumble mustard,1,1
393,29,4-May,2021,Early May,Moxee,Mustard,Blue mustard,1,1
394,30,4-May,2021,Early May,Moxee,Flixweed,Flixweed,1,1
395,31,4-May,2021,Early May,Moxee,Kochia,Kochia,1,1
396,32,4-May,2021,Early May,Moxee,Mustard,Tumble mustard,1,1
397,33,4-May,2021,Early May,Othello,Flixweed,Flixweed,0,1
398,34,4-May,2021,Early May,Othello,Kochia,Kochia,0,1
399,35,4-May,2021,Early May,Pasco,Kochia,Kochia,1,1
400,36,4-May,2021,Early May,Pasco,Mustard,Tumble mustard,1,1
401,37,11-May,2021,Early May,Moxee,Flixweed,Flixweed,1,1
402,38,11-May,2021,Early May,Moxee,Kochia,Kochia,1,1
403,39,11-May,2021,Early May,Moxee,Mustard,Tumble mustard,0,1
404,40,11-May,2021,Early May,Othello,Flixweed,Flixweed,1,1
405,41,11-May,2021,Early May,Othello,Kochia,Kochia,1,1
406,42,11-May,2021,Early May,Pasco,Kochia,Kochia,1,1
407,43,11-May,2021,Early May,Pasco,Mustard,Tumble mustard,1,1
408,44,26-May,2021,Late May,Moxee,Flixweed,Flixweed,1,1
409,45,26-May,2021,Late May,Moxee,Kochia,Kochia,1,1
410,46,26-May,2021,Late May,Moxee,Mustard,Loesel's tumble mustard,1,1
411,47,26-May,2021,Late May,Moxee,Russian thistle,Russian thistle,1,1
412,48,26-May,2021,Late May,Moxee,Mustard,Tumble mustard,0,0
413,49,26-May,2021,Late May,Othello,Flixweed,Flixweed,0,1
414,50,26-May,2021,Late May,Othello,Kochia,Kochia,1,1
415,51,26-May,2021,Late May,Othello,Mustard,Loesel's tumble mustard,0,1
416,52,26-May,2021,Late May,Pasco,Kochia,Kochia,0,0
417,53,26-May,2021,Late May,Pasco,Mustard,Tumble mustard,0,0
418,54,19-Mar,2021,Late March,Wapato,Mustard,Blue mustard,1,0
419,55,30-Mar,2021,Late March,Wapato,Flixweed,Flixweed,1,1
420,56,6-Apr,2021,Early April,Wapato,Flixweed,Flixweed,1,1
421,57,6-Apr,2021,Early April,Wapato,Mustard,Blue mustard,1,0
422,58,6-Apr,2021,Early April,Wapato,Mustard,Blue mustard,1,1
423,59,6-Apr,2021,Early April,Wapato,Mustard,Blue mustard,1,1
424,60,13-Apr,2021,Early April,Wapato,Flixweed,Flixweed,0,1
425,61,13-Apr,2021,Early April,Wapato,Mustard,Blue mustard,0,0
426,62,13-Apr,2021,Early April,Wapato,Flixweed,Flixweed,1,1
427,63,13-Apr,2021,Early April,Wapato,Mustard,Blue mustard,0,1
428,64,13-Apr,2021,Early April,Wapato,Mustard,Blue mustard,1,1
429,65,19-Mar,2021,Late March,Wapato,Mustard,Blue mustard,0,1
430,66,13-Apr,2021,Early April,Wapato,Flixweed,Flixweed,0,0
431,67,19-Mar,2021,Late March,Wapato,Mustard,Blue mustard,0,0
432,68,23-Mar,2021,Late March,Wapato,Mustard,Blue mustard,0,0
433,69,23-Mar,2021,Late March,Wapato,Mustard,Blue mustard,1,0
434,70,23-Mar,2021,Late March,Wapato,Mustard,Blue mustard,1,1
435,71,30-Mar,2021,Late March,Wapato,Mustard,Blue mustard,0,1
436,72,30-Mar,2021,Late March,Wapato,Mustard,Blue mustard,1,1
437,73,30-Mar,2021,Late March,Wapato,Mustard,Blue mustard,1,1
